,index,featureImportance
3693,be,-2.9783285
9227,the,-3.1921723
3388,and,-3.255406
1518,I,-3.5588634
3168,a,-3.629951
9321,to,-3.8018434
7233,of,-4.2066174
5978,have,-4.229884
5602,for,-4.457943
6226,in,-4.4734826
6392,it,-4.487958
2803,The,-4.614167
9899,with,-4.6974235
9977,you,-4.8750215
9224,that,-4.8988543
7067,my,-4.9006367
7266,on,-4.9909678
3998,but,-5.0342126
7,'s,-5.082338
4993,do,-5.1434712
9268,this,-5.15641
7072,n't,-5.205531
7611,place,-5.2135067
9250,they,-5.2581873
5757,get,-5.2853937
9800,we,-5.300841
8682,so,-5.3115463
5594,food,-5.346243
5852,great,-5.3546963
5802,good,-5.355246
5790,go,-5.3922815
3539,at,-5.481567
9692,very,-5.497431
3505,as,-5.5056357
7179,not,-5.5097632
3049,We,-5.5523043
9307,time,-5.586211
6027,here,-5.649037
7323,out,-5.71827
1574,It,-5.734477
3342,all,-5.7508607
6628,like,-5.7665944
6838,me,-5.771215
4364,come,-5.8051295
6756,make,-5.822918
9243,there,-5.862716
7320,our,-5.866479
7303,order,-5.8674984
8443,service,-5.8705626
5668,from,-5.8929076
9233,their,-5.9158707
3608,back,-5.9243627
2810,They,-5.925335
6445,just,-5.9817944
3385,an,-5.986149
9452,try,-6.018238
7270,one,-6.0243044
7299,or,-6.039693
9845,which,-6.0612464
9874,will,-6.0722003
9599,up,-6.0739536
9935,would,-6.087841
7976,really,-6.089113
2817,This,-6.099992
6701,love,-6.102698
4050,can,-6.11021
8,'ve,-6.1190896
3176,about,-6.1219797
3361,also,-6.1577334
8712,some,-6.189029
6190,if,-6.1956625
1993,My,-6.204338
9981,your,-6.2070556
4805,delicious,-6.2426276
3750,best,-6.24441
9839,when,-6.2542715
9114,take,-6.255624
7008,more,-6.2878623
7135,nice,-6.290194
5661,friendly,-6.297066
3371,always,-6.3125434
9826,well,-6.3455505
4011,by,-6.359966
8844,staff,-6.368682
8000,recommend,-6.376965
9832,what,-6.4069467
5126,eat,-6.4078217
3373,amaze,-6.4129114
9622,us,-6.427446
7277,only,-6.4279814
6686,look,-6.4335346
9235,them,-6.464362
5285,even,-6.474978
9351,too,-6.478166
7774,price,-6.483439
4,'m,-6.4872227
8343,say,-6.4971275
6654,little,-6.5176272
4792,definitely,-6.520562
8155,restaurant,-6.5443587
3705,because,-6.54476
9773,want,-6.5453625
5355,experience,-6.5542407
4558,could,-6.5544434
7314,other,-6.556473
5510,find,-6.556879
6890,menu,-6.583443
9753,wait,-6.592246
5063,drink,-6.60752
5772,give,-6.6105175
9919,work,-6.6107316
6490,know,-6.6282554
9219,than,-6.645425
1353,Great,-6.6690135
4211,chicken,-6.689917
9261,think,-6.7060633
7106,need,-6.741357
5676,fry,-6.7447844
3647,bar,-6.7628474
5522,first,-6.7781954
9724,visit,-6.778449
5650,fresh,-6.77921
7040,much,-6.7817516
5984,he,-6.789158
5216,enjoy,-6.810926
7510,people,-6.8273025
6,'re,-6.838012
7151,no,-6.8428693
8411,see,-6.8461204
3473,area,-6.849382
9144,taste,-6.8570347
3783,bite,-6.8597817
8486,she,-6.872796
4731,day,-6.88288
8330,sauce,-6.887112
7127,new,-6.9140477
8198,right,-6.9163737
6694,lot,-6.9192896
5290,ever,-6.9269094
1540,If,-6.928676
3297,again,-6.9322195
4193,cheese,-6.9339957
5450,favorite,-6.9366655
9098,table,-6.9405355
9857,who,-6.9438214
5545,flavor,-6.951029
7125,never,-6.957378
3290,after,-6.976671
7341,over,-6.984743
2807,There,-6.986303
5480,few,-6.9878654
7143,night,-6.9891167
6130,how,-7.0001354
7767,pretty,-7.0014024
5465,feel,-7.0014024
7608,pizza,-7.0014024
3484,around,-7.0029883
9041,sure,-7.0052133
3156,You,-7.0068054
8315,sandwich,-7.01352
6024,her,-7.020926
9798,way,-7.023839
6721,lunch,-7.0277367
5295,everything,-7.037547
4952,dish,-7.042158
4278,clean,-7.058803
9476,two,-7.060819
8542,side,-7.061829
5291,every,-7.0628395
8821,spot,-7.0713015
9624,use,-7.0794926
3,'ll,-7.0822377
3716,before,-7.083269
8402,seat,-7.0971246
7234,off,-7.10202
6840,meal,-7.108349
3415,any,-7.1097608
3752,better,-7.1143637
5318,excellent,-7.1143637
4910,dinner,-7.1193438
7517,perfect,-7.1391535
9024,super,-7.142798
3595,awesome,-7.1471887
6788,many,-7.1501265
5958,happy,-7.1608496
9846,while,-7.1679378
8638,small,-7.1683125
8290,salad,-7.1690617
8440,serve,-7.1815076
297,A,-7.182267
7015,most,-7.183407
391,And,-7.18531
8859,star,-7.185691
5032,down,-7.195649
8230,room,-7.196034
9762,walk,-7.198347
7133,next,-7.2006655
8181,review,-7.2123384
3512,ask,-7.218227
8910,stop,-7.227323
3854,both,-7.2293115
6076,home,-7.236503
3541,atmosphere,-7.251043
4017,ca,-7.2629113
9931,worth,-7.265797
6057,his,-7.2674503
4334,coffee,-7.2686915
6115,hot,-7.269106
6670,location,-7.2695203
8897,still,-7.270349
8512,shop,-7.273673
2592,So,-7.279516
9354,top,-7.2883453
1438,He,-7.2946997
8567,since,-7.296827
2555,She,-7.3015227
3712,beer,-7.307962
9183,tell,-7.3127103
201,5,-7.3131433
7239,offer,-7.317047
7282,open,-7.3279715
8718,something,-7.3292904
4888,different,-7.3319335
6574,leave,-7.332816
88,2,-7.3332577
7428,park,-7.3452554
7191,now,-7.347045
8579,sit,-7.356946
4183,check,-7.3596635
3915,bring,-7.3596635
9273,though,-7.3619337
6364,into,-7.3660326
9069,sweet,-7.3683176
3891,breakfast,-7.3729024
9238,then,-7.375203
672,But,-7.3784323
6683,long,-7.37982
5220,enough,-7.3802824
6532,last,-7.3835287
9841,where,-7.385854
8419,selection,-7.386319
5420,family,-7.390988
4038,call,-7.3985033
9961,years,-7.4027553
8912,store,-7.4185038
3886,bread,-7.419948
8863,start,-7.430115
2143,Our,-7.4349933
9150,tasty,-7.4379315
6170,i,-7.4512615
4525,cook,-7.452256
6020,help,-7.4557447
9259,thing,-7.458745
9910,wonderful,-7.460248
5688,fun,-7.4637647
9260,things,-7.470329
8414,seem,-7.4754076
5662,friends,-7.4784675
1,'d,-7.485643
6655,live,-7.487703
3763,big,-7.508537
6021,helpful,-7.5090632
